date,engine,n_variants,pairs,agree,pct
2026-06-14,duckvep,200,2677,2677,100.0
2026-06-14,fastvep,200,2677,2677,100.0
2026-06-14,duckvep,2000,28304,28302,99.99
2026-06-14,fastvep,2000,28304,28302,99.99
2026-06-14,duckvep,243664,3446439,3446017,99.99
2026-06-14,fastvep,243664,3446439,3446017,99.99
2026-06-14,duckvep,50000,601279,601212,99.99
2026-06-14,fastvep,50000,601279,601212,99.99
2026-06-14,duckvep,50000,601279,601254,100.0
2026-06-14,fastvep,50000,601279,601212,99.99
2026-06-14,duckvep,50000,601279,601267,100.0
2026-06-14,fastvep,50000,601279,601212,99.99
2026-06-14,duckvep,del,50000,71596,65172,91.03
2026-06-14,duckvep,ins,50000,33401,31259,93.59
2026-06-14,duckvep,mnv,50000,4232,3583,84.66
2026-06-14,duckvep,snv,50000,1315496,1315483,100.0
2026-06-14,fastvep,del,50000,1491,1079,72.37
2026-06-14,fastvep,ins,50000,796,577,72.49
2026-06-14,fastvep,mnv,50000,4232,3583,84.66
2026-06-14,fastvep,snv,50000,1315496,1315424,99.99
2026-06-14,duckvep,del,50000,71596,67523,94.31
2026-06-14,duckvep,ins,50000,33401,31259,93.59
2026-06-14,duckvep,mnv,50000,4232,3659,86.46
2026-06-14,duckvep,snv,50000,1315496,1315483,100.0
2026-06-14,fastvep,del,50000,1491,1079,72.37
2026-06-14,fastvep,ins,50000,796,577,72.49
2026-06-14,fastvep,mnv,50000,4232,3583,84.66
2026-06-14,fastvep,snv,50000,1315496,1315424,99.99
